,City,Country Code,Latitude,Longitude,Temperature,Humidity,Cloudiness,Wind Speed
0,new norfolk,au,-84.36359780765176,130.20914164602908,69.33,52,20,5.82
1,kropotkin,ru,57.762121273372,115.31305123761456,36.68,93,68,5.14
2,iracoubo,gf,12.936719842186974,-50.28180362737169,77.22,77,36,6.26
3,mar del plata,ar,-62.70743205197007,-30.918227324520245,73.02,38,0,15.01
4,atuona,pf,-0.19531805510069944,-150.74221499554068,82.51,100,0,11.99
6,bluff,nz,-89.29346046457503,172.80354996680273,64,73,0,6.06
7,salinas,ec,-1.4263697871528649,-84.357989957208,48.38,100,12,2.01
8,avarua,ck,-53.557908734023876,-161.42492096339143,82.4,78,100,24.16
10,busselton,au,-46.15941598632477,93.85566556061417,69.53,42,68,20.71
11,cidreira,br,-53.44385967338346,-22.475666776808794,73.87,81,80,14.34
12,hobart,au,-75.90946585359937,149.80901489862748,69.31,52,20,5.82
13,yulara,au,-26.253272619845625,128.46430915227944,91.4,20,0,6.93
14,ponta do sol,cv,24.47111433310171,-31.49546542128951,69.8,77,75,19.46
15,ushuaia,ar,-74.69089818448397,-40.067383804468534,46.4,93,20,0.58
16,lavrentiya,ru,66.50220162755414,-172.78478335415883,14.52,100,0,13.78
18,puerto ayora,ec,-27.10857993798774,-101.58682184678212,78.12,78,0,6.93
19,nuuk,gl,64.22910013127654,-52.93471715643314,21.2,73,56,12.75
20,senneterre,ca,47.65365870552171,-76.945435498538,14,78,90,4.7
22,kavieng,pg,8.44846578198667,156.75449844091474,84.67,98,32,6.29
23,hithadhoo,mv,-4.853945126276017,78.691161001142,79.59,100,68,0.58
24,amapa,br,4.053966531234465,-48.513179747476016,80.26,85,0,2.48
25,yumen,cn,40.82435992170673,95.64184582563917,33.6,50,56,8.3
26,abalak,ne,16.833268064145926,5.422424466372405,71.64,23,12,12.53
27,novosergiyevka,ru,52.38622202699406,53.75710248755681,25.88,91,92,10.74
28,chapada dos guimaraes,br,-15.397825606245561,-55.34837876120656,82.4,88,0,5.82
30,pacific grove,us,30.506062811362995,-132.95706220045963,65.16,55,1,5.82
33,cabo san lucas,mx,21.239178836378798,-113.11019246999658,68.36,72,90,8.05
34,fairbanks,us,66.81951397925295,-146.89725779621295,44.08,39,1,8.05
35,moranbah,au,-21.90663193647518,147.30857423316218,81.86,90,44,4.47
37,vao,nc,-27.257908629585202,167.7970384235416,80.06,98,12,18.34
38,iacu,br,-12.684393428250246,-40.27112106242859,74.88,67,0,9.62
39,victoria,sc,3.038836337025529,56.76171511036807,80.6,88,40,4.7
41,stutterheim,za,-32.56535285329999,27.156386925860147,56.52,93,12,2.13
42,tuktoyaktuk,ca,70.39788067671475,-132.83448279723203,5,84,40,16.11
43,middletown,us,41.66757049581258,-74.43116311392053,35.11,40,20,5.82
47,yellowknife,ca,86.91507670284724,-98.85946754163325,21.94,67,20,11.41
48,te anau,nz,-45.52001814156408,165.8627436181057,70.83,62,12,3.13
49,mantua,cu,21.645044014332896,-85.23633995492709,72.54,89,8,5.37
50,songkhla,th,7.658469860072941,100.97440874566013,79.63,83,20,6.93
51,garowe,so,7.970785709636331,48.46095121616591,68.54,92,92,6.6
52,vichuga,ru,57.16022361533115,41.961391480288114,27.14,92,80,7.61
53,norman wells,ca,65.93424733602848,-126.56239099677815,42.8,35,40,14.99
54,puerto madryn,ar,-41.16333962100536,-64.97975173919056,63.93,95,64,17.25
55,baruun-urt,mn,47.481297391395685,114.28535585381155,27.66,64,0,15.9
58,rio gallegos,ar,-49.60811858205529,-68.65589471128563,59,93,92,4.7
59,barrow,us,69.18278213218767,-161.0913620638594,42.04,52,75,4.7
60,ostuni,it,40.7500976718776,17.53279126322721,51.67,93,0,5.82
61,thompson,ca,63.4762538546436,-98.52026436917573,23,49,75,3.36
62,bethel,us,57.727394506967585,-161.40546036086874,25.7,79,90,12.75
63,kruisfontein,za,-82.29642924702054,29.104794779466346,64.92,80,0,10.65
64,dingle,ie,51.01500031035579,-20.58438280170236,44.85,100,12,24.52
66,rikitea,pf,-33.74716332860684,-118.97363757219716,77.52,100,64,23.4
68,phangnga,th,9.125303398387743,97.34018680342115,80.51,69,0,4.7
69,georgetown,sh,-4.577174678326557,-14.390494220725373,82.02,99,12,13.11
70,pochutla,mx,15.143516579422027,-96.20201416609272,82.27,65,20,9.73
71,ambon,id,-2.468614695825977,127.94815876388418,87.8,58,20,11.41
72,albany,au,-56.13604933337032,117.61103633175247,66.2,100,90,12.75
73,muslyumovo,ru,54.829455528859256,53.307051813026504,22.17,87,76,8.41
74,kapaa,us,32.68843392632154,-166.00987550103355,76.84,65,75,16.11
75,hilo,us,13.689390931846205,-149.96316147668765,72.64,65,90,9.17
76,turochak,ru,52.26805237586433,87.50067795372155,20.88,68,76,4.47
78,vestmannaeyjar,is,59.98528976105601,-18.105250334190373,37.8,100,92,13.76
80,peniche,pt,40.050398667045044,-13.886110429060096,51.94,76,90,6.93
81,pekan,my,3.1938239138953435,103.28430919264025,73.56,78,75,6.93
86,alice springs,au,-21.13471860902642,135.53342855597344,87.8,10,36,9.17
87,antofagasta,cl,-22.26627121628995,-75.13473056575438,64.4,77,0,6.93
88,severo-kurilsk,ru,47.596679628666124,153.1284611111227,27.75,100,0,1.36
90,hasaki,jp,33.02580348923563,143.6130361713963,52.81,34,20,4.7
92,hojai,in,25.970579478909386,92.89388627433743,68.04,85,0,3.02
93,taiyuan,cn,38.476517725038946,111.4896738712103,48.2,18,0,2.24
94,saint-philippe,re,-46.59171308754089,62.14957960171694,70.5,57,0,6.93
96,hermanus,za,-61.898726049515204,11.230692529881793,63.34,98,12,2.93
97,arraial do cabo,br,-47.04571441067743,-27.396434390959115,77,94,75,2.24
99,nova olimpia,br,-13.59054818893587,-58.58935504429866,79.61,86,8,2.68
102,nokaneng,bw,-19.88880948482992,21.635438652021605,68.13,61,0,8.28
104,provideniya,ru,51.79633553611109,-173.6244805200557,19.24,100,0,13.78
106,palpa,pe,-14.055913584882717,-74.62794269813652,55.8,90,12,1.68
107,palu,id,-0.03653630954683251,120.06449050003931,77.09,69,8,2.01
109,nikolskoye,ru,47.72715685035263,175.2844749547843,33.71,80,75,6.71
110,tasiilaq,gl,71.73778659088165,-36.9497775249512,15.8,78,76,2.24
111,bredasdorp,za,-64.438266449162,21.566003028598118,66.79,88,12,4.7
113,guangyuan,cn,33.29250760023203,105.06323507356234,54.25,79,88,0.89
114,nanortalik,gl,53.93424115637691,-38.01005172935987,24.46,100,92,20.6
115,maiduguri,ng,11.626095482625587,12.74250409349088,76.01,20,20,10.96
118,turayf,sa,30.772512166362915,38.94659736886851,42.8,100,40,14.99
119,mindelo,cv,15.409991730140476,-28.2666880042367,69.8,77,75,19.46
120,butaritari,ki,18.54185813779013,174.4096637931404,75.9,100,92,11.65
122,shenjiamen,cn,30.368641735279596,125.57936931808678,56.16,89,0,2.68
123,svetlogorsk,ru,66.99562246270747,93.9138483545583,14,85,40,2.24
125,haines junction,ca,57.3989886600792,-141.06945822106556,31.68,82,68,4.36
126,atagay,ru,55.203824752849044,99.49285987464174,33.89,81,64,7.38
127,bilibino,ru,70.5928789600847,165.37479141088716,-14.33,61,0,3.15
128,mahebourg,mu,-28.217349792363535,65.89455446173207,75.79,83,75,6.93
130,aksu,kz,52.21189029436272,76.4928886801294,15.8,92,0,8.95
131,trinidad,bo,-14.254669532388405,-65.67773730065159,79.11,86,8,5.93
134,ouegoa,nc,-19.23836310560266,164.526603950234,84.83,72,80,5.7
135,jinka,et,4.905464171878592,36.88797917787406,63.63,70,32,1.79
136,launceston,au,-40.58349911767421,148.93926656746692,69.67,45,12,4.7
137,ribeira grande,pt,36.42838414362157,-40.5901505998759,62.4,94,68,6.85
145,burgas,bg,42.29950531422773,27.5252943293805,48.09,76,0,8.05
146,zabid,ye,14.422802947233137,43.80956243358739,42.66,79,0,1.34
147,luderitz,na,-36.35533742031291,-0.5939714083868068,60.82,92,0,9.42
150,porto walter,br,-9.017081613318098,-72.20741735318938,77.54,85,8,2.13
152,punta arenas,cl,-54.13695830824198,-77.05293462114163,50,100,90,4.7
153,ilulissat,gl,81.02822351601685,-43.8394837892271,-0.41,59,0,8.05
155,beloha,mg,-33.89370399493382,41.59452281043616,72.75,91,36,11.21
157,san jeronimo,mx,10.472381789704073,-103.7936838525762,74.16,23,0,6.51
158,baykit,ru,66.66632359550059,94.6628497559986,10.53,75,0,4.7
160,pisco,pe,-26.996941346870948,-94.10661306717378,71.6,78,0,18.34
164,ankpa,ng,7.258413723027189,7.7735822543639586,75.74,90,12,8.72
165,east london,za,-41.425499395896374,32.71911524514036,76.89,96,0,20.04
167,vaini,to,-80.87766990282837,-178.90833179666947,84.2,83,40,12.75
168,bodden town,ky,18.533479223342553,-80.78614084151508,77.88,78,20,9.17
171,jamestown,sh,-20.18505623320442,2.5224348311242863,76.44,100,92,13
177,namatanai,pg,-2.270950881215711,154.01717502535195,82.62,100,56,9.62
178,karratha,au,-18.194022228482396,112.40546489999406,82.56,68,0,4.5
182,hit,iq,31.4643136409001,42.962400559392165,48.87,94,92,14.09
184,jasper,ca,52.57614425191696,-117.74748914938708,23.49,85,48,1.68
186,sao filipe,cv,13.334128158359363,-33.92075265599965,72.39,90,0,11.99
191,rundu,na,-17.292848638224186,19.75180550542629,66.6,57,0,7.16
192,los llanos de aridane,es,28.14608818847951,-23.42521269580496,61.54,68,36,11.41
194,tuatapere,nz,-46.65535084572586,164.43454789105112,64,73,8,4.61
197,baijiantan,cn,45.417126824922946,85.55026732894271,25.65,93,36,4.47
200,nantucket,us,40.76324828657553,-68.20524564703781,38.79,44,1,16.11
201,port alfred,za,-87.4510726014295,53.127963748065326,66.56,98,8,1.01
203,laguna de perlas,ni,12.266359744786143,-83.60924596880099,80.37,93,88,17
204,chuy,uy,-62.56747220645185,-21.142424509990178,71.73,95,92,16.44
205,grindavik,is,53.21961413545495,-25.010988130449363,34.34,100,75,11.41
206,hamilton,bm,29.8128567972839,-65.48366322809146,64.35,72,75,9.17
207,cervo,es,45.49986579178392,-7.20666637035265,50.47,74,100,14
208,laibin,cn,23.604328345231124,109.59251053328313,57.78,100,100,4.59
209,warwick,au,-28.41364883396782,151.2728554746791,70,80,88,7
210,qaqortoq,gl,66.94456081207645,-44.44038019560381,35.6,47,92,18.34
212,bubaque,gw,5.860324340038687,-20.33778465752394,80.76,86,0,14.79
214,vanavara,ru,60.5570125954894,100.18247474152929,18.18,68,0,3.69
218,mount gambier,au,-56.85343595889434,128.3984478558309,69.8,73,0,6.93
219,umm kaddadah,sd,14.617830704182794,27.69036059174107,65.41,14,48,12.77
222,idlib,sy,35.9355263890879,36.54166951792132,48.07,93,40,4.7
232,sobolevo,ru,55.26743984182062,151.99736711108528,33.37,94,92,2.82
234,qaanaaq,gl,81.32850196379258,-80.54485485265319,-23.65,100,8,5.39
235,opuwo,na,-18.70060762525904,11.433126283090076,60.71,65,8,2.91
238,chokurdakh,ru,73.93096239765708,145.4652682835873,-9.74,86,68,5.39
241,aranos,na,-23.942684599349022,20.364465030789404,74.48,33,56,9.73
242,aksarka,ru,66.43488855343327,67.64196068237985,1.53,70,56,10.51
244,kochubey,ru,44.54558618938526,46.18943927818961,43.2,97,92,2.57
247,beringovskiy,ru,56.24803542921072,177.414989333672,3.49,98,48,16.46
249,cape town,za,-69.69005707449455,-16.605157787423167,60.85,100,75,5.82
252,mizdah,ly,29.415132609211753,13.45206387263346,42.87,86,0,1.03
253,stralsund,de,54.298503255904166,13.063310099486301,46.24,87,75,9.17
254,pitimbu,br,-7.750556158378501,-29.75987699731985,80.6,83,0,5.82
256,sri aman,my,0.26242107326304165,112.62937905576672,75.74,88,40,3.36
260,fortuna,us,36.77009386814471,-132.89113528313771,52.59,100,1,12.75
262,klaksvik,fo,69.65818577627556,-4.287346147291942,35.6,99,80,8.05
264,vardo,no,84.77759377188275,36.15923934991076,31.5,100,44,11.18
266,san luis,ar,-32.930797899624,-65.68920058950773,61.59,92,56,4.72
268,porosozero,ru,62.93654337143394,32.495485322494005,26.91,85,92,6.93
270,port hardy,ca,51.616789716483936,-127.27199965886325,51.8,66,75,18.34
272,bambous virieux,mu,-36.31788367819499,77.65885023508065,75.83,83,75,6.93
277,maniitsoq,gl,64.8293289444845,-52.405331471825775,7.11,82,36,7.94
280,esmeraldas,ec,2.326562185976755,-81.4620969705285,78.22,94,90,5.82
282,afrikanda,ru,67.24695213609317,33.13349061634571,31.01,91,92,3.58
283,kahului,us,22.432379086241298,-156.1038253051405,77.13,57,40,10.29
284,scottsbluff,us,41.296713595896335,-103.76286421211542,35.46,55,1,3.36
286,shelbyville,us,38.41455648297804,-85.26848022037687,40.3,64,1,3.36
287,guerrero negro,mx,12.703093920339427,-129.96537214208655,70.27,38,0,8.63
289,saldanha,za,-33.26423090446698,14.429450745132897,62.6,82,48,5.82
290,saint george,bm,28.819322667848027,-52.510118089128795,64.35,72,75,9.17
291,kresttsy,ru,58.51491350041468,32.83983233811847,33.89,91,92,10.85
292,annau,tm,38.47573882004775,59.28496189828422,46.4,87,0,6.93
295,peraiyur,in,9.775355727171927,77.76114160945014,77,83,20,6.04
299,port-gentil,ga,-2.5154475471341584,5.449950973841965,80.17,100,80,5.84
303,talavera de la reina,es,39.633148601801764,-4.633262991941933,38.64,80,0,2.93
304,elizabethton,us,36.09707741886464,-82.13389142915236,37.04,64,1,4.14
305,kodiak,us,45.17456470425492,-159.19356729787242,46.06,28,1,9.17
308,ancud,cl,-41.63741962551556,-73.74891853867605,53.6,87,32,2.24
311,san patricio,mx,6.8276526832205064,-112.24891969693867,82.4,65,75,3.24
312,miandrivazo,mg,-17.58661128349162,43.548735109527,71.64,98,56,3.36
315,tura,ru,64.19427109612118,99.10206560655911,14.76,63,56,4.14
316,richards bay,za,-33.850050279648784,37.16112278621341,71.96,87,56,8.16
317,comodoro rivadavia,ar,-49.89930613841448,-64.3187901926301,71.6,53,0,8.05
318,buraydah,sa,23.14346002581506,43.07196113691168,57.2,50,40,20.8
323,aklavik,ca,77.63071000730156,-142.3309843597486,24.8,53,75,8.05
324,sinjar,iq,36.36674908263802,42.1001807600141,44.01,99,88,4.81
326,greytown,za,-28.919934964958138,30.78912984097971,59.54,95,32,2.13
329,saskylakh,ru,78.82867586804653,114.68813878463817,-6.28,86,68,6.62
330,mongoumba,cf,3.042442790535759,18.197014516941067,75.42,86,12,3.8
338,dikson,ru,76.03464269941261,81.4544561391478,8.58,94,68,24.18
340,khash,ir,27.7318863799984,62.33516906324451,39.83,80,0,2.57
341,semey,kz,50.027101183735255,79.80762027489999,14,92,0,6.71
346,kaitangata,nz,-69.54716755014746,174.9169595637424,61,77,0,8.01
347,labuhan,id,-19.86344769785231,94.94018719499599,79.2,83,32,3.13
348,nizhniy odes,ru,64.5018149066153,54.94319476062785,17.01,84,68,4.92
349,dunedin,nz,-53.283772735215564,179.02731434551993,62.01,77,12,8.01
351,neiafu,to,-19.210412882903412,-172.33021421387622,86,74,75,4.7
353,nynashamn,se,58.85770855055688,17.89137910820864,34.3,92,92,8.05
355,faanui,pf,-9.94362602647277,-155.24055231157882,84,100,68,10.76
356,torrington,us,43.25090685884004,-104.09829506627617,35.01,55,1,3.36
360,henties bay,na,-24.207975615319384,4.839841806620171,62.01,93,88,3
361,port hedland,au,-26.020571362133822,120.41509076320449,89.6,70,40,12.75
367,kalmunai,lk,7.419073474347272,87.36929679921917,81.14,85,44,4.59
369,clyde river,ca,68.4703906460528,-78.89331215333944,-25.61,74,40,12.75
371,salalah,om,18.4813679478998,54.38465933588273,77,73,40,2.24
372,pevek,ru,72.39859428755429,171.75883118555572,-15.23,90,0,13.78
373,moose factory,ca,50.847688768107304,-80.632169729044,12.2,72,90,11.41
374,ostrovnoy,ru,67.33531776910132,38.333197145195925,25.86,86,8,13
